"1";"Estudiante 00001";"5.000000";"5.100000";"5.000000";"4.600000";"4.400000";"4.200000";"4.200000";"5.800000"
"2";"Estudiante 00002";"5.600000";"5.500000";"5.400000";"5.100000";"5.800000";"5.600000";"4.700000";"7.000000"
"3";"Estudiante 00003";"6.300000";"6.600000";"6.400000";"6.400000";"6.300000";"6.300000";"6.800000";"6.600000"
"4";"Estudiante 00004";"3.800000";"4.700000";"4.700000";"4.100000";"4.400000";"4.200000";"3.800000";"6.400000"
"5";"Estudiante 00005";"5.800000";"5.800000";"5.500000";"5.600000";"5.300000";"5.300000";"5.500000";"5.900000"
"6";"Estudiante 00006";"6.400000";"6.200000";"6.700000";"6.400000";"6.300000";"6.000000";"6.200000";"5.800000"
"7";"Estudiante 00007";"4.200000";"4.000000";"5.000000";"4.200000";"4.400000";"4.300000";"4.000000";"5.700000"
"8";"Estudiante 00008";"3.600000";"4.200000";"4.300000";"4.200000";"3.800000";"4.700000";"3.500000";"6.400000"
"9";"Estudiante 00009";"4.100000";"4.700000";"3.700000";"4.600000";"3.800000";"4.100000";"4.500000";"6.700000"
"10";"Estudiante 00010";"5.500000";"5.200000";"5.700000";"5.800000";"6.200000";"5.900000";"5.500000";"6.400000"
"11";"Estudiante 00011";"3.900000";"5.000000";"4.300000";"4.200000";"4.700000";"4.400000";"4.000000";"6.700000"
"12";"Estudiante 00012";"4.200000";"4.200000";"4.800000";"4.700000";"4.200000";"4.800000";"4.900000";"6.700000"
"13";"Estudiante 00013";"4.300000";"4.300000";"4.900000";"4.700000";"4.700000";"4.400000";"4.700000";"7.000000"
"14";"Estudiante 00014";"4.200000";"4.700000";"4.700000";"4.400000";"4.700000";"4.000000";"5.100000";"6.200000"
"15";"Estudiante 00015";"6.300000";"5.500000";"5.900000";"6.300000";"6.100000";"5.600000";"5.500000";"6.100000"
"16";"Estudiante 00016";"4.800000";"4.400000";"4.100000";"4.400000";"4.500000";"4.800000";"4.100000";"6.300000"
"17";"Estudiante 00017";"4.400000";"4.300000";"4.100000";"3.800000";"4.600000";"4.600000";"4.200000";"6.500000"
"18";"Estudiante 00018";"3.800000";"4.300000";"3.800000";"4.100000";"3.300000";"3.500000";"3.800000";"5.700000"
"19";"Estudiante 00019";"6.100000";"5.200000";"5.700000";"5.100000";"5.200000";"5.100000";"5.500000";"6.800000"
"20";"Estudiante 00020";"5.400000";"5.400000";"4.900000";"5.200000";"4.400000";"4.600000";"5.200000";"5.600000"
"21";"Estudiante 00021";"5.000000";"4.700000";"4.700000";"4.900000";"5.300000";"4.900000";"5.700000";"5.700000"
"22";"Estudiante 00022";"3.800000";"4.900000";"3.900000";"4.100000";"4.300000";"4.800000";"4.000000";"5.800000"
"23";"Estudiante 00023";"6.100000";"6.600000";"6.300000";"5.600000";"6.400000";"6.100000";"6.400000";"6.500000"
"24";"Estudiante 00024";"6.000000";"5.900000";"5.800000";"6.700000";"5.700000";"6.500000";"6.100000";"6.100000"
"25";"Estudiante 00025";"5.700000";"5.200000";"5.700000";"5.100000";"5.400000";"6.000000";"5.700000";"7.000000"
"26";"Estudiante 00026";"5.300000";"5.500000";"5.300000";"4.800000";"4.900000";"4.700000";"4.800000";"6.600000"
"27";"Estudiante 00027";"3.900000";"3.500000";"4.500000";"4.100000";"3.700000";"4.500000";"4.300000";"6.200000"
"28";"Estudiante 00028";"3.600000";"4.000000";"4.500000";"3.400000";"4.000000";"3.500000";"4.400000";"6.100000"
"29";"Estudiante 00029";"6.300000";"5.800000";"6.600000";"6.300000";"6.300000";"6.800000";"6.400000";"6.300000"
"30";"Estudiante 00030";"3.900000";"4.300000";"4.500000";"4.200000";"4.500000";"4.500000";"3.900000";"5.900000"
"31";"Estudiante 00031";"4.600000";"3.800000";"4.000000";"4.400000";"4.000000";"3.800000";"4.300000";"6.900000"
"32";"Estudiante 00032";"3.900000";"4.700000";"4.200000";"3.700000";"4.400000";"4.500000";"3.800000";"6.600000"
"33";"Estudiante 00033";"6.000000";"5.100000";"5.900000";"5.900000";"5.800000";"4.900000";"5.600000";"6.400000"
"34";"Estudiante 00034";"5.900000";"5.200000";"5.700000";"5.600000";"4.700000";"5.200000";"5.700000";"6.400000"
"35";"Estudiante 00035";"5.000000";"5.700000";"5.100000";"4.800000";"4.800000";"5.600000";"5.500000";"6.700000"
"36";"Estudiante 00036";"5.000000";"4.800000";"5.300000";"5.600000";"4.900000";"4.900000";"5.700000";"5.900000"
"37";"Estudiante 00037";"5.400000";"5.300000";"5.200000";"5.100000";"5.900000";"5.700000";"5.500000";"5.500000"
"38";"Estudiante 00038";"4.500000";"5.100000";"4.000000";"4.800000";"5.000000";"4.100000";"4.500000";"6.000000"
"39";"Estudiante 00039";"5.000000";"5.700000";"5.300000";"5.500000";"5.800000";"5.200000";"5.100000";"6.500000"
"40";"Estudiante 00040";"4.800000";"4.000000";"4.100000";"4.200000";"3.800000";"4.600000";"4.400000";"6.900000"
"41";"Estudiante 00041";"5.100000";"4.100000";"4.700000";"5.100000";"5.100000";"5.000000";"4.900000";"6.300000"
"42";"Estudiante 00042";"5.000000";"4.700000";"4.700000";"5.100000";"4.400000";"4.800000";"4.500000";"6.000000"
"43";"Estudiante 00043";"4.600000";"4.700000";"4.300000";"4.700000";"4.700000";"3.900000";"4.700000";"5.900000"
"44";"Estudiante 00044";"6.200000";"6.000000";"5.700000";"5.500000";"6.000000";"5.400000";"5.300000";"5.500000"
"45";"Estudiante 00045";"6.900000";"6.300000";"6.800000";"6.200000";"6.500000";"6.300000";"6.000000";"6.700000"
"46";"Estudiante 00046";"3.500000";"4.000000";"3.900000";"3.800000";"4.600000";"4.300000";"3.800000";"6.500000"
"47";"Estudiante 00047";"4.700000";"5.200000";"4.700000";"5.200000";"4.700000";"4.800000";"4.800000";"5.700000"
"48";"Estudiante 00048";"5.000000";"4.900000";"4.900000";"5.000000";"5.000000";"5.000000";"5.200000";"6.800000"
"49";"Estudiante 00049";"6.300000";"6.400000";"6.800000";"6.400000";"6.900000";"6.700000";"6.300000";"6.800000"
"50";"Estudiante 00050";"4.900000";"5.900000";"5.500000";"5.900000";"5.800000";"5.100000";"5.500000";"5.800000"
"51";"Estudiante 00051";"6.700000";"6.400000";"6.800000";"6.600000";"6.000000";"6.000000";"6.700000";"5.800000"
"52";"Estudiante 00052";"6.800000";"5.800000";"6.000000";"6.600000";"6.200000";"6.700000";"6.300000";"6.700000"
"53";"Estudiante 00053";"6.500000";"6.300000";"6.800000";"6.900000";"6.600000";"5.900000";"6.400000";"6.200000"
"54";"Estudiante 00054";"6.700000";"6.500000";"6.800000";"6.300000";"6.300000";"6.200000";"7.000000";"6.600000"
"55";"Estudiante 00055";"4.800000";"4.700000";"5.000000";"4.700000";"5.800000";"5.600000";"5.100000";"5.800000"
"56";"Estudiante 00056";"6.900000";"6.700000";"6.400000";"6.500000";"6.700000";"6.300000";"6.100000";"5.700000"
"57";"Estudiante 00057";"3.700000";"3.500000";"4.000000";"3.900000";"3.800000";"4.400000";"4.300000";"7.000000"
"58";"Estudiante 00058";"6.200000";"6.900000";"6.700000";"6.700000";"6.700000";"6.600000";"7.000000";"6.700000"
"59";"Estudiante 00059";"5.500000";"6.600000";"5.900000";"6.200000";"6.600000";"5.900000";"6.200000";"6.600000"
"60";"Estudiante 00060";"5.600000";"5.700000";"6.200000";"6.100000";"5.900000";"6.000000";"6.400000";"5.600000"
"61";"Estudiante 00061";"4.200000";"4.900000";"4.800000";"4.400000";"4.400000";"4.900000";"4.000000";"6.500000"
"62";"Estudiante 00062";"5.200000";"4.800000";"4.500000";"4.500000";"4.900000";"5.200000";"4.800000";"5.700000"
"63";"Estudiante 00063";"4.200000";"4.200000";"5.000000";"4.400000";"4.800000";"5.300000";"5.300000";"6.200000"
"64";"Estudiante 00064";"4.900000";"5.400000";"5.300000";"4.400000";"4.400000";"4.300000";"4.900000";"6.900000"
"65";"Estudiante 00065";"4.800000";"5.300000";"5.100000";"4.900000";"5.400000";"5.500000";"5.000000";"6.100000"
"66";"Estudiante 00066";"5.700000";"4.600000";"5.400000";"4.600000";"5.000000";"5.300000";"5.100000";"6.300000"
"67";"Estudiante 00067";"5.800000";"5.600000";"5.500000";"5.800000";"5.800000";"5.300000";"6.100000";"6.100000"
"68";"Estudiante 00068";"6.100000";"6.100000";"6.400000";"5.900000";"5.900000";"5.500000";"5.500000";"6.600000"
"69";"Estudiante 00069";"3.700000";"3.700000";"3.600000";"3.500000";"3.700000";"3.600000";"3.700000";"6.500000"
"70";"Estudiante 00070";"4.200000";"5.200000";"4.900000";"5.100000";"4.700000";"4.600000";"4.500000";"5.700000"
"71";"Estudiante 00071";"3.500000";"4.100000";"3.700000";"3.700000";"3.500000";"3.400000";"4.100000";"5.600000"
"72";"Estudiante 00072";"4.400000";"5.000000";"5.100000";"5.500000";"5.200000";"4.900000";"5.200000";"6.800000"
"73";"Estudiante 00073";"6.600000";"6.400000";"6.100000";"6.200000";"6.900000";"6.500000";"6.800000";"5.700000"
"74";"Estudiante 00074";"5.500000";"5.900000";"6.000000";"5.400000";"6.500000";"5.500000";"5.600000";"6.100000"
"75";"Estudiante 00075";"4.400000";"4.900000";"4.400000";"5.000000";"5.000000";"4.300000";"4.300000";"6.100000"
"76";"Estudiante 00076";"4.300000";"5.000000";"5.200000";"4.300000";"5.200000";"4.400000";"5.000000";"6.700000"
"77";"Estudiante 00077";"5.400000";"5.300000";"4.700000";"5.700000";"5.500000";"5.000000";"4.900000";"6.800000"
"78";"Estudiante 00078";"4.600000";"4.700000";"5.500000";"5.300000";"4.800000";"5.700000";"4.600000";"5.600000"
"79";"Estudiante 00079";"5.400000";"5.100000";"5.500000";"4.800000";"5.600000";"5.800000";"5.600000";"6.700000"
"80";"Estudiante 00080";"6.200000";"6.400000";"6.600000";"6.800000";"6.700000";"6.600000";"6.200000";"6.300000"
"81";"Estudiante 00081";"3.700000";"4.300000";"4.600000";"3.800000";"4.800000";"4.400000";"4.200000";"6.500000"
"82";"Estudiante 00082";"6.500000";"6.500000";"6.100000";"6.100000";"6.400000";"6.900000";"6.000000";"6.300000"
"83";"Estudiante 00083";"4.600000";"4.800000";"4.500000";"5.000000";"4.900000";"5.000000";"5.100000";"6.900000"
"84";"Estudiante 00084";"5.400000";"4.800000";"5.100000";"5.300000";"4.900000";"5.000000";"5.300000";"6.100000"
"85";"Estudiante 00085";"5.100000";"5.200000";"4.900000";"4.900000";"5.100000";"4.200000";"5.200000";"6.300000"
"86";"Estudiante 00086";"7.000000";"6.300000";"6.300000";"6.200000";"6.100000";"6.300000";"6.500000";"6.700000"
"87";"Estudiante 00087";"6.800000";"6.300000";"6.900000";"7.000000";"6.700000";"6.500000";"6.400000";"6.700000"
"88";"Estudiante 00088";"6.300000";"6.500000";"6.100000";"5.900000";"6.000000";"5.800000";"6.200000";"7.000000"
"89";"Estudiante 00089";"6.300000";"6.500000";"6.300000";"6.900000";"6.800000";"6.600000";"6.200000";"6.200000"
"90";"Estudiante 00090";"5.300000";"6.000000";"6.000000";"5.900000";"6.500000";"5.700000";"6.300000";"6.900000"
"91";"Estudiante 00091";"5.600000";"5.300000";"5.400000";"5.700000";"5.700000";"4.700000";"4.700000";"6.100000"
"92";"Estudiante 00092";"6.700000";"6.300000";"6.000000";"6.400000";"6.000000";"6.700000";"6.700000";"5.600000"
"93";"Estudiante 00093";"4.000000";"4.800000";"4.800000";"4.500000";"4.600000";"4.000000";"4.000000";"7.000000"
"94";"Estudiante 00094";"4.800000";"4.300000";"4.400000";"4.700000";"3.700000";"3.800000";"3.700000";"6.000000"
"95";"Estudiante 00095";"5.300000";"6.400000";"5.800000";"6.100000";"5.500000";"5.400000";"5.900000";"6.800000"
"96";"Estudiante 00096";"4.400000";"3.600000";"3.600000";"4.400000";"4.300000";"3.700000";"3.800000";"6.100000"
"97";"Estudiante 00097";"4.500000";"4.800000";"4.600000";"4.500000";"4.500000";"4.800000";"4.900000";"5.600000"
"98";"Estudiante 00098";"5.700000";"6.500000";"6.200000";"5.700000";"6.800000";"5.700000";"6.400000";"5.600000"
"99";"Estudiante 00099";"4.000000";"4.000000";"4.200000";"3.900000";"4.300000";"4.100000";"4.500000";"5.500000"
"100";"Estudiante 00100";"5.500000";"5.200000";"4.800000";"5.700000";"4.900000";"4.700000";"5.400000";"7.000000"
"101";"Estudiante 00101";"5.500000";"5.300000";"6.100000";"5.900000";"5.600000";"5.300000";"6.200000";"6.700000"
"102";"Estudiante 00102";"5.800000";"5.800000";"5.500000";"4.700000";"5.200000";"5.600000";"5.600000";"6.300000"
"103";"Estudiante 00103";"5.000000";"4.800000";"4.900000";"5.200000";"5.400000";"5.200000";"4.700000";"5.800000"
